# Pres dens StdErr(dens) vf StdErr(vf) c/a StdErr(c/a) dR dVol
200 1.0015844976546866 1.7895767819160014E-4 0.7416537792923213 1.3251466913820838E-4 1.067356331526227 2.4636955250559686E-4 0.015888474393658033 5.006265243731717E-4
150 0.9868623112770253 2.536754350154506E-4 0.7307522875140379 1.8784171033522926E-4 1.0656772758520912 3.598452381942578E-4 0.018855222256557513 6.289943097193648E-4
120 0.9717305189854613 3.5865083792631114E-4 0.7195474905480468 2.655739480950817E-4 1.0637982180960017 7.686683219035505E-4 0.021682890131720513 8.282374791923027E-4
100 0.9584482736229187 2.2243037938697574E-4 0.7097122469977677 1.6470535617207986E-4 1.0643827986409005 5.49170182493592E-4 0.030616316441482185 9.495330811228942E-4
90 0.9491437249974886 3.0106131371892257E-4 0.7028224102752363 2.2293002904329946E-4 1.0608848084263753 0.0010888160314456415 0.03192777644092314 0.001024016129972824
80 0.9377230708279548 4.474535466164626E-4 0.694365638683165 3.313306213168474E-4 1.0624529076166682 8.416234546685409E-4 0.03588282304019346 0.0012412343936550898
70 0.9241270624137629 4.7899539795343314E-4 0.6842980597147531 3.5468674683608603E-4 1.0577850376995246 0.0010841070735984363 0.041703406822894445 0.0013570989387897236
60 0.9062257337527324 6.381102169675393E-4 0.6710424751016769 4.72508165938994E-4 1.055207725297253 0.0011198927340123801 0.05037568853906417 0.0016629564463522505
50 0.8817523539177894 6.877560133747604E-4 0.6529204148170542 5.092699095679867E-4 1.047463706857385 0.0028849392943431124 0.05605241810494578 0.0019235864325374233
40 0.8466735150905306 7.864392771592496E-4 0.6269452190643816 5.823429410637683E-4 1.041797213656965 0.0018128531842759629 0.06951472812048191 0.00233205767748408
35 0.8227292165195645 0.0010002571239394907 0.6092149331331956 7.406708849555702E-4 1.045753199612416 0.0010880258260046775 0.08117414500566639 0.0030512603835043317
30 0.794370545214542 7.437275435471019E-4 0.588215890318208 5.507157356446794E-4 1.034919452274864 0.003764385382544202 0.08440893664798158 0.0029756256025059787
28 0.7803533734132754 7.731439202375474E-4 0.5778364480786944 5.724979886598704E-4 1.0338922715825756 0.004131166189228965 0.0971002615717568 0.003159468522168657
#26 0.7588646525000482 0.0022023667873135306 0.5619244694939904 0.001630809637153857 1.0422390388960654 0.0036004567416990613 0.11425351902447702 0.00307627562426643
#24 0.7362172812706608 0.002284777708400509 0.545154532955793 0.0016918333163569573 1.0536833535452221 0.005524318607083929 0.18143535945775097 0.003950442077182487
#23 0.7305280743584973 0.005865031972247902 0.540941786235509 0.004342941746875883 1.0168334547450153 0.0044158646026079 0.43099900333874763 0.0056335189483130935
