# Pres dens StdErr(dens) vf StdErr(vf) c/a StdErr(c/a) dR dVol
200 0.998279903339018 0.0032329121896761725 0.7392067916752176 0.0023939084013441924 1.0656559079252959 0.0010033654700813753 0.014465213827779214 2.6134531619223636E-4
150 0.9829173623423678 0.002965251526606553 0.7278311297950885 0.0021957109024774535 1.0640867143628379 0.0011387103301181713 0.020918766294716146 2.854478748032074E-4
120 0.9682860533911262 0.0026794078366716876 0.7169969309780225 0.0019840492269849568 1.0632444403884393 0.0015547726301351054 0.02203845770690494 3.1489341371835516E-4
100 0.9549705774872099 0.002303786605869562 0.707137080860195 0.001705909034071576 1.0606386644455112 6.459995254556417E-4 0.03002967677352847 4.372821017649632E-4
90 0.9471531396682786 0.0018619162772495704 0.7013484206758872 0.001378712676745079 1.0586714947650497 0.0014115850964794778 0.0333527034115698 5.196640471638254E-4
80 0.9347831745061783 0.001998320826235596 0.692188702815169 0.001479717583961688 1.05692162074038 6.852221659287617E-4 0.03404539137125843 5.807205898445658E-4
70 0.9206007132457112 0.0016037241246878856 0.6816868669559657 0.001187526425168892 1.0566517663320656 9.77738001264138E-4 0.04040966350416242 6.637986414246332E-4
60 0.904210426613199 0.001300569209728827 0.6695501794841134 9.630461253232952E-4 1.0554205566048565 0.001276981413374265 0.04633083616476676 7.404352223954684E-4
50 0.8793657820566665 0.0013594055258370197 0.6511532049166421 0.0010066132694727364 1.0504232992297688 0.0019839548032701336 0.05375233926850843 8.536639757924322E-4
40 0.8454525259688747 5.685188172478803E-4 0.6260411004416677 4.209770922020911E-4 1.0458442880501548 0.0011085213424042455 0.07166243207316347 0.001056188840877541
35 0.8249957679613845 5.786546917251683E-4 0.6108932702547489 4.284825094910639E-4 1.0444457742481152 0.003123637856250654 0.08256690083139581 0.0010817537108331425
30 0.793890389076689 2.8519556138256085E-4 0.5878603440661214 2.1118174895441304E-4 1.0278779047991304 0.003869835484036331 0.09407919023309018 0.0012949882994369533
#28 0.7833106773062346 0.0037901969013203777 0.580026273913524 0.002806566857523157 1.0281503222649888 0.005629218324423661 0.09485256080356472 0.0014198492223352172
#26 0.7660309808161949 0.0011864145548968392 0.5672309957948318 8.785168305915786E-4 1.0118449655079542 0.004901610110636155 0.09537311612362749 0.0014507677022925004
#24 0.7606938743248349 0.0032099867109391636 0.5632789725665657 0.0023769325316255643 1.0381592551469039 0.0012189662160408655 0.11166841699505912 0.001623584879581779
#23 0.756314040777898 0.002696921345547923 0.5600357912769557 0.0019970176386161086 1.0237212238644724 0.0011892197003641792 0.11466996300450234 0.001631761392069108
#22 0.7595767722227958 0.004051530968129583 0.5624517802550107 0.003000079635285577 1.0306335415814105 0.0019157164454801593 0.11197966550011013 0.0018762457994545493
#21 0.7491180524760264 0.004766489875963297 0.5547073023353603 0.0035294927574720503 1.0211043777554336 7.603235175301254E-4 0.11208252333697294 0.001710182245925999
#20 0.7355956624312554 0.0053625393884369765 0.5446942363331876 0.0039708557923517135 1.0370644512524303 8.141391808636142E-4 0.15986833102001166 0.0018944475649522933
#19 0.7290235754609486 0.005750211753372785 0.5398277341551097 0.004257919614975438 1.0321967555332203 7.69660268515772E-4 0.2004095912813303 0.001684618568937469
#18 0.7343149759461344 0.004055382301627942 0.5437459129775419 0.0030029314726019384 1.0221183083209608 0.0018238482295843412 0.11396304423776589 0.001982251426128949
#17 0.7249354350606163 0.004713146816097934 0.5368005459495374 0.0034899932623828557 1.0194467633129982 0.0011656238060208483 0.33590575216846524 0.0027432104004112465
#16 0.7133795343013786 0.004041030696778139 0.5282436268964927 0.002992304389215188 1.0502560444110087 9.817662428076204E-4 0.14031452629699087 0.001857787128575654
#14 0.699817485694277 0.0011491629736239035 0.518201194502665 8.509327614442767E-4 1.0435543379386023 9.709459933775802E-4 0.5436811425329031 0.003968891960530519
