# Pres dens StdErr(dens) vf StdErr(vf) c/a StdErr(c/a) dR dVol
100 0.9570343215711503 4.742469355632521E-4 0.7086652430900721 3.511706030621002E-4 1.059776091331131 0.0014110657584039533 0.02620409281500287 0.0011061991551375957
90 0.9483357474565668 6.495626628096584E-4 0.7022241186700737 4.809884786638214E-4 1.0611330328034407 0.0014375145620268645 0.02900544079861869 0.0011537882462700811
80 0.9369134586081259 5.370067919799811E-4 0.6937661366301645 3.976430522971384E-4 1.058269817982854 0.0016039200901672669 0.03666682180786498 0.0012133814638414075
70 0.9248567036814714 4.7638820974188673E-4 0.6848383448379662 3.5275617484586464E-4 1.0579912932223168 0.0010873147017038582 0.03711210798973134 0.0013187047948743029
60 0.9054738859761139 5.049272082843347E-4 0.670485746491872 3.738887464358026E-4 1.0541498252566384 0.0018683766613659225 0.050033066044281156 0.0012610262740482309
50 0.8816243810146946 9.97680127068907E-4 0.6528256533791029 7.387626690530304E-4 1.047548827090429 0.0028832397289436694 0.053162228007071155 0.0022730092424633696
40 0.846730313956339 0.0010076033410489015 0.6269872775163492 7.46110615407105E-4 1.0464793179701575 0.003321748882374293 0.07105832757343349 0.0025945614221364803
35 0.8221575950090844 7.805376390245712E-4 0.6087916585571962 5.779728931727852E-4 1.0388968963037442 0.003405867667878108 0.08087271211776824 0.002812630827428886
30 0.7906488811547694 0.0014754274633966588 0.5854600706927545 0.0010925252506027317 1.0302657455857618 0.00560397258618764 0.09511595432441902 0.0033590366757588115
28 0.7815722764128142 0.0012042286303799309 0.5787390219686812 8.917078059189925E-4 1.0332439646881766 0.003850875936957353 0.09600317883711675 0.0032361723196180554
#26 0.76120248624685 8.036196519101182E-4 0.5636555897716432 5.950646733722307E-4 1.012124249457766 0.00875449474748629 0.09964528563611538 0.003586228117236193
#24 0.7287588663157605 0.0025814599364066652 0.5396317221976544 0.0019115207178318425 0.954441484297372 0.00262890455165198 0.2834126849213367 0.004948996891392186
#23 0.7315232270449419 0.0018888487349465965 0.5416786773840869 0.0013986556362078977 1.0329689656583971 0.00721831135369883 0.1327199441942032 0.0038570387882737797
