# Pres dens StdErr(dens) vf StdErr(vf) c/a StdErr(c/a) dR dVol
200 0.9375478889571149 4.407736170026272E-4 0.69423591992566 3.263842637644143E-4 1.0010624263048493 7.790657925211712E-4 0.023334602742412086 9.598829525748524E-4
150 0.9173913468787942 5.705939182440834E-4 0.6793103937769864 4.2251366398596133E-4 1.0011466219707628 8.953764607446542E-4 0.029925881224343375 0.001440261129769115
120 0.897714683054101 6.479538712759759E-4 0.6647402081125516 4.797971999212718E-4 1.000219688046819 0.0011202131548865215 0.03811721948298647 0.0018368433692698
100 0.8784004240386012 6.005307944641466E-4 0.6504383761386959 4.4468133676566363E-4 0.9986425482963956 9.889556725176348E-4 0.04405884610426762 0.001969745795504395
90 0.8673970824425196 5.35544295884601E-4 0.6422906163653693 3.9656010247790595E-4 1.001464110910238 8.495569983210249E-4 0.05357482403079453 0.002038988327474734
80 0.8493210089428355 0.001005975098458695 0.6289056366085954 7.449049335245106E-4 0.9992072561913901 0.0017464536209997794 0.0523463785520203 0.0022382727785770465
70 0.8292044490408014 9.841033983433746E-4 0.6140097164813972 7.287093663191496E-4 0.9975230077402901 0.0013892039311171136 0.0568211535369627 0.002717932685505476
60 0.8052670979478954 9.129975492693733E-4 0.5962845750221676 6.760568723798622E-4 0.997581162387217 0.001094600865826266 0.07041800999591098 0.0027810057251680762
50 0.7723751844730804 0.0010227806975932165 0.5719287548253947 7.573491518061982E-4 0.9997281825642323 0.002183872060355892 0.07697983549716306 0.003420503231142917
40 0.719821350562104 0.0014052224082687437 0.5330136661557473 0.0010405397770073654 1.0021657892415765 0.004217242143134457 0.09190273322666768 0.004121033164694229
#35 0.6620106894993542 0.007920701936682 0.49020599954252286 0.005865125248786324 0.9842626227714273 0.0018642438093943393 0.1293968656552026 0.005750970202282594
#30 0.6476376068549372 0.0033610429357649263 0.4795630122675861 0.0024887867189523328 0.9996097281556819 0.0047658745334737546 0.1642841888012498 0.006148843113984349
