# Pres dens StdErr(dens) vf StdErr(vf) c/a StdErr(c/a) dR dVol
100 0.8769864454532029 0.0015562027676663626 0.6493913525833648 0.0011523377874572735 1.0013393313187051 0.001087894265453718 0.042657748840437514 5.438966295427207E-4
90 0.863440023484008 0.001684784169581655 0.6393604914100262 0.0012475498069124782 0.9992144700257429 0.0010264410154402427 0.04921719264285499 5.444861673177153E-4
80 0.8489814109018732 6.625258832562254E-4 0.6286541708849249 4.905874904659283E-4 0.9992644615301015 7.78934993662138E-4 0.0570427538511018 5.990128788193E-4
70 0.829461852348169 6.706402215060933E-4 0.614200318608486 4.96595999604798E-4 1.0012844231373401 5.361096934267815E-4 0.05774549410823152 6.444176490582831E-4
60 0.8055503154045294 0.0010220376453921487 0.5964942920231457 7.567989361424616E-4 1.0001773829380154 0.0011783117955265403 0.06609667214915638 7.233811002491405E-4
50 0.774086197809531 8.344639477803646E-4 0.5731957268186413 6.179042726881006E-4 1.0016062237794934 9.143495185033237E-4 0.07343240571034455 7.863243014047429E-4
40 0.7236774789144829 0.0017306117702071602 0.5358690539664361 0.0012814842510753916 0.9998926922692147 0.0011957706268942224 0.08846525919988006 0.0012136294838527477
#35 0.710450311051389 0.005619202623640053 0.52607459422992 0.004160909910438405 1.0056297653614468 0.0017344747856449206 0.0966730845707253 0.001111187560742356
#30 0.6933638385179348 0.007077614229830065 0.5134223946812208 0.005240835250764933 0.9958881219565814 0.0013833381138358362 0.3200205497816583 0.0018100173995353435
#28 0.6858020250342 0.006052394998175919 0.5078230193298172 0.004481680412068854 0.9972576078138268 0.0037325626048192273 0.23547627785623326 0.0018331727510613525
#26 0.6780669803378162 0.006340013654622942 0.5020953696452413 0.004694656415637301 1.0058917945957921 7.617901635015004E-4 0.22474409996501857 0.001849954736659633
#24 0.6676285303006877 0.004050103669834124 0.49436590105011186 0.002999022748747404 0.9793192325878239 0.0014841095529008995 0.3495955580166628 0.002139906361712887
#23 0.6531863428064174 0.002705828965452004 0.4836717429821157 0.0020036135573577463 1.0101867763752925 7.040589066443487E-4 0.26156401405166474 0.002062626734732039
#22 0.6553483008631057 0.0039816060386942366 0.48527263074262794 0.002948301589299424 1.0070565046013822 7.94931971152633E-4 0.2685047711272123 0.0022969042594036615
#21 0.6440144809280736 0.001923394295828735 0.47688015820704244 0.0014242359500485405 0.9974355035714374 9.176616105517001E-4 0.2569667551805436 0.0024450200077861554
#20 0.6331573086510994 8.058567294075562E-4 0.4688406339627068 5.967211856012627E-4 1.0124332520545614 2.1348602653329068E-4 0.28340028063220013 0.0025734939520729596
#19 0.6390480447449388 0.0017950234351433755 0.47320260911012546 0.0013291798322643672 1.0077308510357668 0.00100336327663808 0.15941208246965696 0.0016414793242083576
