# Pres dens StdErr(dens) vf StdErr(vf) c/a StdErr(c/a) dR dVol
200 0.9564017352644699 1.962502660393202E-4 0.7081968252719282 1.4531949305979764E-4 1.0002863138801175 2.2647683106656258E-4 0.010863913193813633 9.228593382691516E-4
150 0.9464911454096592 2.3360746416904146E-4 0.7008582268430906 1.729817694457678E-4 1.000087259986938 3.137801712279155E-4 0.017086325616566006 0.0014965777422213929
120 0.9377227070978658 3.3951985613966165E-4 0.6943653693481306 2.514078293142079E-4 0.9991740643918338 2.5036905448043987E-4 0.017242009289283804 0.0015388012787854774
100 0.9294373139141455 2.97185177656468E-4 0.6882301973461499 2.200598258393808E-4 0.9997517277763734 4.007810912272622E-4 0.020558050286986693 0.0019267011364049796
90 0.923305339681507 6.562475641483664E-4 0.6836895900635804 4.859385176626355E-4 1.000064511933578 5.166198296158778E-4 0.025282001280307147 0.0018587081514693361
80 0.9167575649394548 3.4631566137425786E-4 0.6788410906161858 2.564399905135965E-4 0.9988263136277723 7.53107709710275E-4 0.029860659225678918 0.001867762316900306
70 0.9063054081767844 3.971306729373598E-4 0.6711014724582149 2.940675151639697E-4 1.001398805918609 0.0011600314688122693 0.032900526907930064 0.002819767179475053
60 0.896415825337219 5.300809814701205E-4 0.6637784293143135 3.9251462472804913E-4 1.0014867030055132 8.027926893719767E-4 0.03373139757266749 0.002857051751561413
50 0.879749421974578 5.329002069858706E-4 0.6514372827909227 3.946022062297427E-4 0.9985169471001489 0.0012389318244283094 0.04447780547844625 0.003374892405499583
40 0.8583671404567857 6.908942568413833E-4 0.6356041205018733 5.11593717633336E-4 1.0014604343256213 0.0016354403696465156 0.053458108968562075 0.004112896302569328
35 0.8403016297354325 6.549803779995566E-4 0.6222269622763704 4.8500019104284325E-4 1.0022981667302893 0.002079913289503978 0.06077638333296642 0.005406352086045862
30 0.819990719424045 8.518323178452142E-4 0.6071871294628824 6.307652118439442E-4 0.9987374910597401 0.0019337154351632565 0.06725960558835467 0.005447070316875222
28 0.8116564324918503 9.602824411916564E-4 0.6010157525940883 7.110704122994411E-4 1.0012300922717403 0.0017036665704831587 0.08369373264670489 0.005373282722752862
26 0.7985043175886094 0.0011080987220589826 0.5912768681100369 8.205254843432477E-4 1.000555759651972 0.002576959221132877 0.08181818723261423 0.0071112291761996965
24 0.7876786043448532 9.689902917320391E-4 0.5832606386660237 7.175184057318451E-4 0.9950839237371611 0.0025235366167062514 0.10208595222564962 0.00750774539279909
23 0.7807221211549802 0.0011392400557795805 0.578109498587045 8.435850343846139E-4 0.9992421956039564 0.003832926916032034 0.08136534658394257 0.006851796528267285
22 0.7728423480355596 9.824700588502693E-4 0.572274680328906 7.274999102947744E-4 0.9989181386505842 0.004253997620148698 0.09081984745956288 0.008186101851571119
21 0.7631404092917481 7.885377211914201E-4 0.5650905839769168 5.838967979264832E-4 1.000586759521233 0.005929905665249927 0.09244019866570903 0.008404755190386365
20 0.7562962062121052 0.0010593766177855394 0.5600225851289442 7.844477167030405E-4 1.000987221342077 0.004295401745328107 0.10513579391602516 0.007314384845081096
19 0.747124733969698 0.0010129679074501858 0.5532312888716799 7.500829721526412E-4 0.9970858500770322 0.004655940016838115 0.10909803291327046 0.00818458699639751
18 0.7364046818567679 0.0017035740752194344 0.5452932994335623 0.0012614633654501708 1.000731813427238 0.00803835842120635 0.10912784045754384 0.007642807705955747
#17 0.7228171345317428 0.0014182409316052629 0.5352319857366004 0.001050179739536302 0.9711638714204561 0.005503201097887417 0.3826913859288209 0.01343534448703165
#16 0.6900851428501967 0.002127181539062703 0.5109945845076198 0.0015751364277108019 0.874688981465783 0.014868568616758556 0.15946645181264452 0.010569975978008173
