# Pres dens StdErr(dens) vf StdErr(vf) c/a StdErr(c/a) dR dVol
200 0.9565782857629062 1.7707607041733833E-4 0.7083275574714657 1.3112137533510752E-4 1.0000602733817021 2.2870918714445134E-4 0.010441105580707776 5.061535826154511E-4
150 0.9467656432666733 1.8912135120373243E-4 0.7010614871506723 1.4004067074052646E-4 0.999767093329495 3.03750712216733E-4 0.01635188957213021 6.444525092190583E-4
120 0.9376716359126223 2.029400652251974E-4 0.6943275521318724 1.5027315885731047E-4 0.9999310492060223 3.071253812582804E-4 0.018588447058480725 7.661369956707142E-4
100 0.9297060215852936 1.8973401581100466E-4 0.6884291701340657 1.4049433695624956E-4 0.9994292580581503 3.3991063126512114E-4 0.02097009789511362 0.0010347488248350601
90 0.922735856552096 3.372535194413277E-4 0.6832678989170421 2.4972965124069095E-4 1.0001625611031957 6.69071671310567E-4 0.026288830281451563 0.0010337611620653577
80 0.9162050860828945 3.612744334116941E-4 0.6784319908019345 2.6751666938526437E-4 0.9997679641852937 5.654732517316179E-4 0.02580576933814059 0.0011898434534616282
70 0.9078894092813535 5.270467931749147E-4 0.6722743943718009 3.9026786746364423E-4 1.000136184768573 7.312415247462857E-4 0.028891849176454584 0.0015189593316571942
60 0.8961682415489176 5.123936772770013E-4 0.6635950983495119 3.7941752106282825E-4 0.9991098832405076 9.343502906284797E-4 0.038724793662504815 0.001492256030501346
50 0.8790751402515222 5.870534732391259E-4 0.6509379903304433 4.3470164334895827E-4 0.9994300888442924 0.0012872848636639512 0.03941113210058555 0.002150376188120381
40 0.8562241978448829 7.664467579529602E-4 0.6340173133072272 5.67538870647386E-4 1.0003385391422812 0.001269349695470609 0.0510403621963947 0.0021985694780748597
35 0.8414426061031617 6.427601961959018E-4 0.6230718330158745 4.7595138483561006E-4 1.0000628522223107 0.0013793042154514941 0.06366683589997564 0.0026879764519985782
30 0.8192106806390506 6.897994485668791E-4 0.6066095259613898 5.107830334690818E-4 0.9946387929218463 0.0021426232092149862 0.07404837302607671 0.0029243253154059125
28 0.8103197099100644 9.521864797329797E-4 0.6000259356021436 7.050755107996919E-4 0.9994363660072351 0.0027645044179824482 0.07468225003667157 0.0032470116927564457
26 0.7990125680510712 8.159895084946013E-4 0.5916532176613674 6.042243108375961E-4 1.0052468261930725 0.002015530229839965 0.08135731244264102 0.0036892674930952356
24 0.787940283421935 0.0011530076662737531 0.5834544069171638 8.537796813384772E-4 0.9951663650078738 0.002511965605864434 0.09283193576853721 0.004406049072414232
23 0.7821595773869198 7.933725473618022E-4 0.579173906881584 5.874768923804046E-4 0.9996214476874266 0.002540460209257445 0.08949379084277216 0.004017599496671881
22 0.774511256554736 7.723286662251999E-4 0.5735104745264389 5.718943089727741E-4 1.0119375919128235 0.0037020472395607696 0.09086555650993657 0.0040840527933090785
21 0.7642951888826075 8.000888262938355E-4 0.565945675733844 5.92450165882237E-4 0.9981605837354306 0.004088164361460421 0.09654299306168768 0.004779837645852519
20 0.7555264417176561 0.0011772010798012356 0.5594525895391459 8.716944320418995E-4 0.9993968478766048 0.004694846718262752 0.09479342897659374 0.004880736540694979
19 0.7445110749744001 0.0012457664148394886 0.5512959253789511 9.224657249052578E-4 1.0055035044382596 0.0036017050145162625 0.10804859088607228 0.005054331474723548
18 0.7367131554633481 0.00129283382016181 0.5455217181208202 9.57318220245393E-4 0.9939069113438251 0.004867135029239838 0.10998107781260465 0.004793750806706563
17 0.7211022370208823 0.0015336464775103518 0.5339621375879845 0.0011356352946893303 0.9981442995621173 0.0052778682155827 0.11492152556883942 0.004610532330793786
#16 0.7097044339337878 0.0020734218538133262 0.5255222867766279 0.0015353284296472276 1.02046739624936 0.006866893020857954 0.22407395757420284 0.006200306064311424
